state,msa,jobtitle,capacity,density,medianSalary
CA,"Los Angeles-Long Beach-Santa Ana, CA",All Occupations,1000.000,1.00,38290
CA,"Los Angeles-Long Beach-Santa Ana, CA",Management Occupations,58.658,1.18,108740
CA,"Los Angeles-Long Beach-Santa Ana, CA",Chief Executives,2.107,1.16,0
CA,"Los Angeles-Long Beach-Santa Ana, CA",General and Operations Managers,18.427,1.21,107720
CA,"Los Angeles-Long Beach-Santa Ana, CA",Legislators,0.105,0.26,69100
CA,"Los Angeles-Long Beach-Santa Ana, CA",Advertising and Promotions Managers,0.368,1.69,114360
CA,"Los Angeles-Long Beach-Santa Ana, CA",Marketing Managers,1.879,1.38,134420
CA,"Los Angeles-Long Beach-Santa Ana, CA",Sales Managers,4.634,1.74,110980
CA,"Los Angeles-Long Beach-Santa Ana, CA",Public Relations and Fundraising Managers,0.428,1.02,100150
CA,"Los Angeles-Long Beach-Santa Ana, CA",Administrative Services Managers,2.774,1.39,89910
CA,"Los Angeles-Long Beach-Santa Ana, CA",Computer and Information Systems Managers,2.529,1.03,138560
CA,"Los Angeles-Long Beach-Santa Ana, CA",Financial Managers,5.137,1.34,133760
CA,"Los Angeles-Long Beach-Santa Ana, CA",Industrial Production Managers,1.327,1.07,95500
CA,"Los Angeles-Long Beach-Santa Ana, CA",Purchasing Managers,0.591,1.13,100880
CA,"Los Angeles-Long Beach-Santa Ana, CA","Transportation, Storage, and Distribution Managers",0.992,1.26,82290
CA,"Los Angeles-Long Beach-Santa Ana, CA",Compensation and Benefits Managers,0.107,0.88,116770
CA,"Los Angeles-Long Beach-Santa Ana, CA",Human Resources Managers,0.995,1.15,114520
CA,"Los Angeles-Long Beach-Santa Ana, CA",Training and Development Managers,0.184,0.83,115700
CA,"Los Angeles-Long Beach-Santa Ana, CA",Construction Managers,1.466,0.87,100790
CA,"Los Angeles-Long Beach-Santa Ana, CA","Education Administrators, Preschool and Childcare Center/Program",0.413,1.18,50930
CA,"Los Angeles-Long Beach-Santa Ana, CA","Education Administrators, Elementary and Secondary School",1.126,0.66,107180
CA,"Los Angeles-Long Beach-Santa Ana, CA","Education Administrators, Postsecondary",0.848,0.87,96350
CA,"Los Angeles-Long Beach-Santa Ana, CA","Education Administrators, All Other",0.286,1.21,103440
CA,"Los Angeles-Long Beach-Santa Ana, CA",Architectural and Engineering Managers,1.884,1.42,148390
CA,"Los Angeles-Long Beach-Santa Ana, CA",Food Service Managers,2.271,1.55,46050
CA,"Los Angeles-Long Beach-Santa Ana, CA",Funeral Service Managers,0.023,0.38,59730
CA,"Los Angeles-Long Beach-Santa Ana, CA",Gaming Managers,0,0,82890
CA,"Los Angeles-Long Beach-Santa Ana, CA",Lodging Managers,0.234,1.00,50970
CA,"Los Angeles-Long Beach-Santa Ana, CA",Medical and Health Services Managers,1.914,0.83,110780
CA,"Los Angeles-Long Beach-Santa Ana, CA",Natural Sciences Managers,0.294,0.74,144990
CA,"Los Angeles-Long Beach-Santa Ana, CA",Postmasters and Mail Superintendents,0.018,0.13,89220
CA,"Los Angeles-Long Beach-Santa Ana, CA","Property, Real Estate, and Community Association Managers",2.020,1.60,63670
CA,"Los Angeles-Long Beach-Santa Ana, CA",Social and Community Service Managers,0.843,0.98,72030
CA,"Los Angeles-Long Beach-Santa Ana, CA",Emergency Management Directors,0.034,0.47,106660
CA,"Los Angeles-Long Beach-Santa Ana, CA","Managers, All Other",2.382,0.89,120220
CA,"Los Angeles-Long Beach-Santa Ana, CA",Business and Financial Operations Occupations,58.633,1.16,70760
CA,"Los Angeles-Long Beach-Santa Ana, CA","Agents and Business Managers of Artists, Performers, and Athletes",0.704,8.01,86800
CA,"Los Angeles-Long Beach-Santa Ana, CA","Buyers and Purchasing Agents, Farm Products",0.067,0.80,67760
CA,"Los Angeles-Long Beach-Santa Ana, CA","Wholesale and Retail Buyers, Except Farm Products",1.370,1.67,52370
CA,"Los Angeles-Long Beach-Santa Ana, CA","Purchasing Agents, Except Wholesale, Retail, and Farm Products",2.366,1.11,64860
CA,"Los Angeles-Long Beach-Santa Ana, CA","Claims Adjusters, Examiners, and Investigators",1.855,0.94,66750
CA,"Los Angeles-Long Beach-Santa Ana, CA","Insurance Appraisers, Auto Damage",0.083,0.82,63850
CA,"Los Angeles-Long Beach-Santa Ana, CA",Compliance Officers,1.992,1.09,75000
CA,"Los Angeles-Long Beach-Santa Ana, CA",Cost Estimators,1.411,0.91,63220
CA,"Los Angeles-Long Beach-Santa Ana, CA",Human Resources Specialists,3.325,0.99,63320
CA,"Los Angeles-Long Beach-Santa Ana, CA",Labor Relations Specialists,0.720,1.22,84570
CA,"Los Angeles-Long Beach-Santa Ana, CA",Logisticians,0.777,0.84,80930
CA,"Los Angeles-Long Beach-Santa Ana, CA",Management Analysts,5.237,1.20,84880
CA,"Los Angeles-Long Beach-Santa Ana, CA","Meeting, Convention, and Event Planners",0.581,1.01,53470
CA,"Los Angeles-Long Beach-Santa Ana, CA",Fundraisers,0.316,0.77,64690
CA,"Los Angeles-Long Beach-Santa Ana, CA","Compensation, Benefits, and Job Analysis Specialists",0.655,1.09,67190
CA,"Los Angeles-Long Beach-Santa Ana, CA",Training and Development Specialists,1.387,0.78,60040
CA,"Los Angeles-Long Beach-Santa Ana, CA",Market Research Analysts and Marketing Specialists,5.133,1.48,64750
CA,"Los Angeles-Long Beach-Santa Ana, CA","Business Operations Specialists, All Other",8.506,1.23,72820
CA,"Los Angeles-Long Beach-Santa Ana, CA",Accountants and Auditors,11.154,1.27,69760
CA,"Los Angeles-Long Beach-Santa Ana, CA",Appraisers and Assessors of Real Estate,0.342,0.73,79980
CA,"Los Angeles-Long Beach-Santa Ana, CA",Budget Analysts,0.565,1.34,82110
CA,"Los Angeles-Long Beach-Santa Ana, CA",Credit Analysts,0.549,1.07,70950
CA,"Los Angeles-Long Beach-Santa Ana, CA",Financial Analysts,1.981,1.02,87840
CA,"Los Angeles-Long Beach-Santa Ana, CA",Personal Financial Advisors,1.782,1.23,86190
CA,"Los Angeles-Long Beach-Santa Ana, CA",Insurance Underwriters,0.552,0.81,65570
CA,"Los Angeles-Long Beach-Santa Ana, CA",Financial Examiners,0.289,1.06,77690
CA,"Los Angeles-Long Beach-Santa Ana, CA",Credit Counselors,0.289,1.32,43130
CA,"Los Angeles-Long Beach-Santa Ana, CA",Loan Officers,2.644,1.19,80360
CA,"Los Angeles-Long Beach-Santa Ana, CA","Tax Examiners and Collectors, and Revenue Agents",0.346,0.73,74060
CA,"Los Angeles-Long Beach-Santa Ana, CA",Tax Preparers,0.635,1.25,42510
CA,"Los Angeles-Long Beach-Santa Ana, CA","Financial Specialists, All Other",1.023,1.01,62760
CA,"Los Angeles-Long Beach-Santa Ana, CA",Computer and Mathematical Occupations,25.881,0.91,86010
CA,"Los Angeles-Long Beach-Santa Ana, CA",Computer and Information Research Scientists,0.213,1.19,113450
CA,"Los Angeles-Long Beach-Santa Ana, CA",Computer Systems Analysts,2.953,0.76,90820
CA,"Los Angeles-Long Beach-Santa Ana, CA",Information Security Analysts,0.396,0.67,99260
CA,"Los Angeles-Long Beach-Santa Ana, CA",Computer Programmers,2.304,1.03,87430
CA,"Los Angeles-Long Beach-Santa Ana, CA","Software Developers, Applications",4.578,0.90,102170
CA,"Los Angeles-Long Beach-Santa Ana, CA","Software Developers, Systems Software",3.121,1.10,117090
CA,"Los Angeles-Long Beach-Santa Ana, CA",Web Developers,1.180,1.32,67180
CA,"Los Angeles-Long Beach-Santa Ana, CA",Database Administrators,0.697,0.84,88990
CA,"Los Angeles-Long Beach-Santa Ana, CA",Network and Computer Systems Administrators,2.627,0.97,81650
CA,"Los Angeles-Long Beach-Santa Ana, CA",Computer Network Architects,0.835,0.81,113580
CA,"Los Angeles-Long Beach-Santa Ana, CA",Computer User Support Specialists,4.023,0.96,53170
CA,"Los Angeles-Long Beach-Santa Ana, CA",Computer Network Support Specialists,1.108,0.86,68500
CA,"Los Angeles-Long Beach-Santa Ana, CA","Computer Occupations, All Other",0.982,0.62,76680
CA,"Los Angeles-Long Beach-Santa Ana, CA",Actuaries,0.154,0.97,106300
CA,"Los Angeles-Long Beach-Santa Ana, CA",Mathematicians,0.041,1.76,98710
CA,"Los Angeles-Long Beach-Santa Ana, CA",Operations Research Analysts,0.486,0.76,80860
CA,"Los Angeles-Long Beach-Santa Ana, CA",Statisticians,0.154,0.77,84840
CA,"Los Angeles-Long Beach-Santa Ana, CA",Architecture and Engineering Occupations,18.706,1.05,87360
CA,"Los Angeles-Long Beach-Santa Ana, CA","Architects, Except Landscape and Naval",0.767,1.17,83010
CA,"Los Angeles-Long Beach-Santa Ana, CA",Landscape Architects,0.186,1.38,71600
CA,"Los Angeles-Long Beach-Santa Ana, CA",Cartographers and Photogrammetrists,0.084,0.97,66040
CA,"Los Angeles-Long Beach-Santa Ana, CA",Surveyors,0.192,0.62,84400
CA,"Los Angeles-Long Beach-Santa Ana, CA",Aerospace Engineers,1.083,2.12,121330
CA,"Los Angeles-Long Beach-Santa Ana, CA",Biomedical Engineers,0.301,2.03,95620
CA,"Los Angeles-Long Beach-Santa Ana, CA",Chemical Engineers,0.146,0.59,86380
CA,"Los Angeles-Long Beach-Santa Ana, CA",Civil Engineers,2.036,1.04,96540
CA,"Los Angeles-Long Beach-Santa Ana, CA",Computer Hardware Engineers,0.825,1.46,114730
CA,"Los Angeles-Long Beach-Santa Ana, CA",Electrical Engineers,1.205,0.93,108970
CA,"Los Angeles-Long Beach-Santa Ana, CA","Electronics Engineers, Except Computer",1.826,1.84,100990
CA,"Los Angeles-Long Beach-Santa Ana, CA",Environmental Engineers,0.366,0.93,104110
CA,"Los Angeles-Long Beach-Santa Ana, CA","Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",0.158,0.87,99160
CA,"Los Angeles-Long Beach-Santa Ana, CA",Industrial Engineers,1.653,0.94,95510
CA,"Los Angeles-Long Beach-Santa Ana, CA",Materials Engineers,0.157,0.85,103460
CA,"Los Angeles-Long Beach-Santa Ana, CA",Mechanical Engineers,1.612,0.80,93330
CA,"Los Angeles-Long Beach-Santa Ana, CA","Mining and Geological Engineers, Including Mining Safety Engineers",0.021,0.34,0
CA,"Los Angeles-Long Beach-Santa Ana, CA",Petroleum Engineers,0.144,0.57,116760
CA,"Los Angeles-Long Beach-Santa Ana, CA","Engineers, All Other",0.961,1.04,100620
CA,"Los Angeles-Long Beach-Santa Ana, CA",Architectural and Civil Drafters,0.900,1.33,57390
CA,"Los Angeles-Long Beach-Santa Ana, CA",Electrical and Electronics Drafters,0,0,58880
CA,"Los Angeles-Long Beach-Santa Ana, CA",Mechanical Drafters,0.264,0.56,53400
CA,"Los Angeles-Long Beach-Santa Ana, CA","Drafters, All Other",0.084,0.80,49930
CA,"Los Angeles-Long Beach-Santa Ana, CA",Aerospace Engineering and Operations Technicians,0.167,2.01,71560
CA,"Los Angeles-Long Beach-Santa Ana, CA",Civil Engineering Technicians,0.440,0.83,67900
CA,"Los Angeles-Long Beach-Santa Ana, CA",Electrical and Electronics Engineering Technicians,1.114,1.10,59440
CA,"Los Angeles-Long Beach-Santa Ana, CA",Electro-Mechanical Technicians,0.151,1.41,45260
CA,"Los Angeles-Long Beach-Santa Ana, CA",Environmental Engineering Technicians,0.112,0.84,57250
CA,"Los Angeles-Long Beach-Santa Ana, CA",Industrial Engineering Technicians,0.289,0.59,58960
CA,"Los Angeles-Long Beach-Santa Ana, CA",Mechanical Engineering Technicians,0.346,0.98,55790
CA,"Los Angeles-Long Beach-Santa Ana, CA","Engineering Technicians, Except Drafters, All Other",0.497,0.99,62920
CA,"Los Angeles-Long Beach-Santa Ana, CA",Surveying and Mapping Technicians,0.122,0.32,69810
CA,"Los Angeles-Long Beach-Santa Ana, CA","Life, Physical, and Social Science Occupations",9.150,1.08,71440
CA,"Los Angeles-Long Beach-Santa Ana, CA",Food Scientists and Technologists,0.123,1.18,63390
CA,"Los Angeles-Long Beach-Santa Ana, CA",Soil and Plant Scientists,0.080,0.71,70890
CA,"Los Angeles-Long Beach-Santa Ana, CA",Biochemists and Biophysicists,0.180,0.78,95940
CA,"Los Angeles-Long Beach-Santa Ana, CA",Microbiologists,0.158,1.03,76650
CA,"Los Angeles-Long Beach-Santa Ana, CA",Zoologists and Wildlife Biologists,0,0,56310
CA,"Los Angeles-Long Beach-Santa Ana, CA","Biological Scientists, All Other",0.368,1.55,79980
CA,"Los Angeles-Long Beach-Santa Ana, CA",Conservation Scientists,0.019,0.14,80020
CA,"Los Angeles-Long Beach-Santa Ana, CA",Foresters,0,0,64390
CA,"Los Angeles-Long Beach-Santa Ana, CA",Epidemiologists,0,0,48160
CA,"Los Angeles-Long Beach-Santa Ana, CA","Medical Scientists, Except Epidemiologists",1.230,1.65,90780
CA,"Los Angeles-Long Beach-Santa Ana, CA","Life Scientists, All Other",0.044,0.63,88500
CA,"Los Angeles-Long Beach-Santa Ana, CA",Astronomers,0,0,135280
CA,"Los Angeles-Long Beach-Santa Ana, CA",Physicists,0.094,0.76,110240
CA,"Los Angeles-Long Beach-Santa Ana, CA",Atmospheric and Space Scientists,0.065,0.81,103510
CA,"Los Angeles-Long Beach-Santa Ana, CA",Chemists,0.667,1.05,67170
CA,"Los Angeles-Long Beach-Santa Ana, CA",Materials Scientists,0.052,1.01,93790
CA,"Los Angeles-Long Beach-Santa Ana, CA","Environmental Scientists and Specialists, Including Health",0.773,1.18,82200
CA,"Los Angeles-Long Beach-Santa Ana, CA","Geoscientists, Except Hydrologists and Geographers",0.321,1.28,89220
CA,"Los Angeles-Long Beach-Santa Ana, CA",Hydrologists,0.019,0.39,0
CA,"Los Angeles-Long Beach-Santa Ana, CA","Physical Scientists, All Other",0.098,0.58,105250
CA,"Los Angeles-Long Beach-Santa Ana, CA",Economists,0.099,0.71,99060
CA,"Los Angeles-Long Beach-Santa Ana, CA",Survey Researchers,0.121,1.06,59200
CA,"Los Angeles-Long Beach-Santa Ana, CA","Clinical, Counseling, and School Psychologists",1.389,1.79,73870
CA,"Los Angeles-Long Beach-Santa Ana, CA","Psychologists, All Other",0.049,0.55,103200
CA,"Los Angeles-Long Beach-Santa Ana, CA",Sociologists,0.026,1.58,73620
CA,"Los Angeles-Long Beach-Santa Ana, CA",Urban and Regional Planners,0.478,1.80,74340
CA,"Los Angeles-Long Beach-Santa Ana, CA",Anthropologists and Archeologists,0.087,1.66,60010
CA,"Los Angeles-Long Beach-Santa Ana, CA",Historians,0,0,48260
CA,"Los Angeles-Long Beach-Santa Ana, CA",Political Scientists,0.026,0.62,77870
CA,"Los Angeles-Long Beach-Santa Ana, CA","Social Scientists and Related Workers, All Other",0.140,0.59,86150
CA,"Los Angeles-Long Beach-Santa Ana, CA",Agricultural and Food Science Technicians,0.135,0.88,32210
CA,"Los Angeles-Long Beach-Santa Ana, CA",Biological Technicians,0.491,0.91,45590
CA,"Los Angeles-Long Beach-Santa Ana, CA",Chemical Technicians,0.309,0.65,39610
CA,"Los Angeles-Long Beach-Santa Ana, CA",Geological and Petroleum Technicians,0.040,0.34,55540
CA,"Los Angeles-Long Beach-Santa Ana, CA",Nuclear Technicians,0.033,0.71,83730
CA,"Los Angeles-Long Beach-Santa Ana, CA",Social Science Research Assistants,0.217,1.06,44200
CA,"Los Angeles-Long Beach-Santa Ana, CA","Environmental Science and Protection Technicians, Including Health",0.165,0.66,47380
CA,"Los Angeles-Long Beach-Santa Ana, CA",Forensic Science Technicians,0.133,1.32,80740
CA,"Los Angeles-Long Beach-Santa Ana, CA",Forest and Conservation Technicians,0.105,0.47,37570
CA,"Los Angeles-Long Beach-Santa Ana, CA","Life, Physical, and Social Science Technicians, All Other",0.476,0.96,43650
CA,"Los Angeles-Long Beach-Santa Ana, CA",Community and Social Service Occupations,14.983,1.05,46190
CA,"Los Angeles-Long Beach-Santa Ana, CA",Substance Abuse and Behavioral Disorder Counselors,0.642,1.02,31930
CA,"Los Angeles-Long Beach-Santa Ana, CA","Educational, Guidance, School, and Vocational Counselors",1.832,1.01,61940
CA,"Los Angeles-Long Beach-Santa Ana, CA",Marriage and Family Therapists,0.505,2.26,46760
CA,"Los Angeles-Long Beach-Santa Ana, CA",Mental Health Counselors,0.538,0.61,41640
CA,"Los Angeles-Long Beach-Santa Ana, CA",Rehabilitation Counselors,0.594,0.77,27920
CA,"Los Angeles-Long Beach-Santa Ana, CA","Counselors, All Other",0.230,1.10,41780
CA,"Los Angeles-Long Beach-Santa Ana, CA","Child, Family, and School Social Workers",2.292,1.08,47010
CA,"Los Angeles-Long Beach-Santa Ana, CA",Healthcare Social Workers,0.946,0.88,64100
CA,"Los Angeles-Long Beach-Santa Ana, CA",Mental Health and Substance Abuse Social Workers,0.812,1.00,51380
CA,"Los Angeles-Long Beach-Santa Ana, CA","Social Workers, All Other",0.797,1.75,63850
CA,"Los Angeles-Long Beach-Santa Ana, CA",Health Educators,0.460,1.09,48870
CA,"Los Angeles-Long Beach-Santa Ana, CA",Probation Officers and Correctional Treatment Specialists,0.701,1.09,74990
CA,"Los Angeles-Long Beach-Santa Ana, CA",Social and Human Service Assistants,2.906,1.11,31920
CA,"Los Angeles-Long Beach-Santa Ana, CA",Community Health Workers,0.358,1.01,37860
CA,"Los Angeles-Long Beach-Santa Ana, CA","Community and Social Service Specialists, All Other",0.779,1.12,54660
CA,"Los Angeles-Long Beach-Santa Ana, CA",Clergy,0.291,0.85,52930
CA,"Los Angeles-Long Beach-Santa Ana, CA","Directors, Religious Activities and Education",0.192,1.38,44950
CA,"Los Angeles-Long Beach-Santa Ana, CA","Religious Workers, All Other",0.107,1.79,47250
CA,"Los Angeles-Long Beach-Santa Ana, CA",Legal Occupations,9.199,1.18,102380
CA,"Los Angeles-Long Beach-Santa Ana, CA",Lawyers,5.563,1.25,152400
CA,"Los Angeles-Long Beach-Santa Ana, CA",Judicial Law Clerks,0.155,1.80,69040
CA,"Los Angeles-Long Beach-Santa Ana, CA","Administrative Law Judges, Adjudicators, and Hearing Officers",0.144,1.38,95490
CA,"Los Angeles-Long Beach-Santa Ana, CA","Arbitrators, Mediators, and Conciliators",0,0,56420
CA,"Los Angeles-Long Beach-Santa Ana, CA","Judges, Magistrate Judges, and Magistrates",0.099,0.48,170980
CA,"Los Angeles-Long Beach-Santa Ana, CA",Paralegals and Legal Assistants,2.084,1.03,58650
CA,"Los Angeles-Long Beach-Santa Ana, CA",Court Reporters,0.120,0.89,94720
CA,"Los Angeles-Long Beach-Santa Ana, CA","Title Examiners, Abstractors, and Searchers",0.473,1.21,44540
CA,"Los Angeles-Long Beach-Santa Ana, CA","Legal Support Workers, All Other",0.458,1.37,53160
CA,"Los Angeles-Long Beach-Santa Ana, CA","Education, Training, and Library Occupations",55.419,0.89,54560
CA,"Los Angeles-Long Beach-Santa Ana, CA","Business Teachers, Postsecondary",0.413,0.66,91430
CA,"Los Angeles-Long Beach-Santa Ana, CA","Computer Science Teachers, Postsecondary",0.174,0.66,98660
CA,"Los Angeles-Long Beach-Santa Ana, CA","Mathematical Science Teachers, Postsecondary",0.362,0.91,90740
CA,"Los Angeles-Long Beach-Santa Ana, CA","Architecture Teachers, Postsecondary",0.040,0.74,80850
CA,"Los Angeles-Long Beach-Santa Ana, CA","Engineering Teachers, Postsecondary",0.178,0.66,109380
CA,"Los Angeles-Long Beach-Santa Ana, CA","Agricultural Sciences Teachers, Postsecondary",0.018,0.24,104300
CA,"Los Angeles-Long Beach-Santa Ana, CA","Biological Science Teachers, Postsecondary",0.251,0.64,91320
CA,"Los Angeles-Long Beach-Santa Ana, CA","Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",0.144,1.79,92860
CA,"Los Angeles-Long Beach-Santa Ana, CA","Chemistry Teachers, Postsecondary",0.097,0.61,104490
CA,"Los Angeles-Long Beach-Santa Ana, CA","Environmental Science Teachers, Postsecondary",0.016,0.41,104110
CA,"Los Angeles-Long Beach-Santa Ana, CA","Physics Teachers, Postsecondary",0.068,0.65,97590
CA,"Los Angeles-Long Beach-Santa Ana, CA","Anthropology and Archeology Teachers, Postsecondary",0.031,0.69,94150
CA,"Los Angeles-Long Beach-Santa Ana, CA","Area, Ethnic, and Cultural Studies Teachers, Postsecondary",0.037,0.55,79770
CA,"Los Angeles-Long Beach-Santa Ana, CA","Economics Teachers, Postsecondary",0.048,0.47,107040
CA,"Los Angeles-Long Beach-Santa Ana, CA","Geography Teachers, Postsecondary",0.014,0.43,107110
CA,"Los Angeles-Long Beach-Santa Ana, CA","Political Science Teachers, Postsecondary",0.095,0.75,93760
CA,"Los Angeles-Long Beach-Santa Ana, CA","Psychology Teachers, Postsecondary",0.320,1.14,85960
CA,"Los Angeles-Long Beach-Santa Ana, CA","Sociology Teachers, Postsecondary",0.061,0.49,90530
CA,"Los Angeles-Long Beach-Santa Ana, CA","Social Sciences Teachers, Postsecondary, All Other",0.141,1.73,122020
CA,"Los Angeles-Long Beach-Santa Ana, CA","Health Specialties Teachers, Postsecondary",0.814,0.65,93180
CA,"Los Angeles-Long Beach-Santa Ana, CA","Nursing Instructors and Teachers, Postsecondary",0.333,0.79,88340
CA,"Los Angeles-Long Beach-Santa Ana, CA","Education Teachers, Postsecondary",0.254,0.57,67530
CA,"Los Angeles-Long Beach-Santa Ana, CA","Library Science Teachers, Postsecondary",0.018,0.54,118130
CA,"Los Angeles-Long Beach-Santa Ana, CA","Criminal Justice and Law Enforcement Teachers, Postsecondary",0.083,0.76,71450
CA,"Los Angeles-Long Beach-Santa Ana, CA","Law Teachers, Postsecondary",0.073,0.62,116870
CA,"Los Angeles-Long Beach-Santa Ana, CA","Art, Drama, and Music Teachers, Postsecondary",0.953,1.32,78200
CA,"Los Angeles-Long Beach-Santa Ana, CA","Communications Teachers, Postsecondary",0.248,1.14,94150
CA,"Los Angeles-Long Beach-Santa Ana, CA","English Language and Literature Teachers, Postsecondary",0.493,0.87,86590
CA,"Los Angeles-Long Beach-Santa Ana, CA","Foreign Language and Literature Teachers, Postsecondary",0.238,1.04,77580
CA,"Los Angeles-Long Beach-Santa Ana, CA","History Teachers, Postsecondary",0.106,0.61,93310
CA,"Los Angeles-Long Beach-Santa Ana, CA","Philosophy and Religion Teachers, Postsecondary",0.116,0.68,88070
CA,"Los Angeles-Long Beach-Santa Ana, CA",Graduate Teaching Assistants,0,0,26730
CA,"Los Angeles-Long Beach-Santa Ana, CA","Home Economics Teachers, Postsecondary",0.033,1.23,88280
CA,"Los Angeles-Long Beach-Santa Ana, CA","Recreation and Fitness Studies Teachers, Postsecondary",0.181,1.31,94300
CA,"Los Angeles-Long Beach-Santa Ana, CA","Vocational Education Teachers, Postsecondary",0.905,1.01,52560
CA,"Los Angeles-Long Beach-Santa Ana, CA","Postsecondary Teachers, All Other",0,0,64580
CA,"Los Angeles-Long Beach-Santa Ana, CA","Preschool Teachers, Except Special Education",2.736,1.05,29820
CA,"Los Angeles-Long Beach-Santa Ana, CA","Kindergarten Teachers, Except Special Education",0.969,0.83,62220
CA,"Los Angeles-Long Beach-Santa Ana, CA","Elementary School Teachers, Except Special Education",7.685,0.77,74380
CA,"Los Angeles-Long Beach-Santa Ana, CA","Middle School Teachers, Except Special and Career/Technical Education",2.624,0.56,70230
CA,"Los Angeles-Long Beach-Santa Ana, CA","Career/Technical Education Teachers, Middle School",0.026,0.25,55670
CA,"Los Angeles-Long Beach-Santa Ana, CA","Secondary School Teachers, Except Special and Career/Technical Education",5.893,0.83,74800
CA,"Los Angeles-Long Beach-Santa Ana, CA","Career/Technical Education Teachers, Secondary School",0.211,0.35,77000
CA,"Los Angeles-Long Beach-Santa Ana, CA","Special Education Teachers, Preschool",0,0,72150
CA,"Los Angeles-Long Beach-Santa Ana, CA","Special Education Teachers, Kindergarten and Elementary School",0.834,0.56,69370
CA,"Los Angeles-Long Beach-Santa Ana, CA","Special Education Teachers, Middle School",0.351,0.50,67450
CA,"Los Angeles-Long Beach-Santa Ana, CA","Special Education Teachers, Secondary School",0.620,0.62,70100
CA,"Los Angeles-Long Beach-Santa Ana, CA","Special Education Teachers, All Other",0.435,1.48,64450
CA,"Los Angeles-Long Beach-Santa Ana, CA",Adult Basic and Secondary Education and Literacy Teachers and Instructors,0.623,1.28,62610
CA,"Los Angeles-Long Beach-Santa Ana, CA",Self-Enrichment Education Teachers,1.589,1.06,34610
CA,"Los Angeles-Long Beach-Santa Ana, CA","Teachers and Instructors, All Other, Except Substitute Teachers",3.212,1.61,46540
CA,"Los Angeles-Long Beach-Santa Ana, CA",Substitute Teachers,4.219,0.92,38940
CA,"Los Angeles-Long Beach-Santa Ana, CA",Archivists,0.046,1.17,47450
CA,"Los Angeles-Long Beach-Santa Ana, CA",Curators,0.064,0.78,63200
CA,"Los Angeles-Long Beach-Santa Ana, CA",Museum Technicians and Conservators,0.094,1.28,47360
CA,"Los Angeles-Long Beach-Santa Ana, CA",Librarians,0.572,0.58,72210
CA,"Los Angeles-Long Beach-Santa Ana, CA",Library Technicians,0.489,0.70,43610
CA,"Los Angeles-Long Beach-Santa Ana, CA",Audio-Visual and Multimedia Collections Specialists,0.074,1.11,43190
CA,"Los Angeles-Long Beach-Santa Ana, CA",Instructional Coordinators,1.021,1.03,78050
CA,"Los Angeles-Long Beach-Santa Ana, CA",Teacher Assistants,8.469,0.96,30270
CA,"Los Angeles-Long Beach-Santa Ana, CA","Education, Training, and Library Workers, All Other",1.951,2.41,30050
CA,"Los Angeles-Long Beach-Santa Ana, CA","Arts, Design, Entertainment, Sports, and Media Occupations",30.143,2.27,59840
CA,"Los Angeles-Long Beach-Santa Ana, CA",Art Directors,0.643,2.62,104170
CA,"Los Angeles-Long Beach-Santa Ana, CA",Craft Artists,0.048,1.35,67620
CA,"Los Angeles-Long Beach-Santa Ana, CA","Fine Artists, Including Painters, Sculptors, and Illustrators",0.274,3.06,58840
CA,"Los Angeles-Long Beach-Santa Ana, CA",Multimedia Artists and Animators,1.155,5.38,79810
CA,"Los Angeles-Long Beach-Santa Ana, CA","Artists and Related Workers, All Other",0.026,0.46,64670
CA,"Los Angeles-Long Beach-Santa Ana, CA",Commercial and Industrial Designers,0.374,1.72,61280
CA,"Los Angeles-Long Beach-Santa Ana, CA",Fashion Designers,0.839,6.36,66630
CA,"Los Angeles-Long Beach-Santa Ana, CA",Floral Designers,0.168,0.50,28960
CA,"Los Angeles-Long Beach-Santa Ana, CA",Graphic Designers,2.326,1.59,50970
CA,"Los Angeles-Long Beach-Santa Ana, CA",Interior Designers,0.439,1.32,54050
CA,"Los Angeles-Long Beach-Santa Ana, CA",Merchandise Displayers and Window Trimmers,0.651,0.95,26760
CA,"Los Angeles-Long Beach-Santa Ana, CA",Set and Exhibit Designers,0.294,3.79,59050
CA,"Los Angeles-Long Beach-Santa Ana, CA","Designers, All Other",0.194,3.82,55370
CA,"Los Angeles-Long Beach-Santa Ana, CA",Producers and Directors,3.636,5.05,99610
CA,"Los Angeles-Long Beach-Santa Ana, CA",Athletes and Sports Competitors,0.088,1.04,67210
CA,"Los Angeles-Long Beach-Santa Ana, CA",Coaches and Scouts,1.555,0.99,39860
CA,"Los Angeles-Long Beach-Santa Ana, CA","Umpires, Referees, and Other Sports Officials",0.093,0.72,19910
CA,"Los Angeles-Long Beach-Santa Ana, CA",Dancers,0.167,2.01,0
CA,"Los Angeles-Long Beach-Santa Ana, CA",Choreographers,0.067,1.51,0
CA,"Los Angeles-Long Beach-Santa Ana, CA",Music Directors and Composers,0.146,0.90,56580
CA,"Los Angeles-Long Beach-Santa Ana, CA",Musicians and Singers,0.606,2.11,0
CA,"Los Angeles-Long Beach-Santa Ana, CA","Entertainers and Performers, Sports and Related Workers, All Other",0,0,0
CA,"Los Angeles-Long Beach-Santa Ana, CA",Radio and Television Announcers,0.232,1.04,36550
